,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.24517478942871093,0.004993726876485377,0.0066620826721191405,0.0012291629961100955,0.5,linear,5,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 5}",0.9066605270390433,0.9275056984036026,0.911739182667866,0.9272987799003158,0.8791753621352493,0.9104759100292155,0.017713836097018165,6
1,0.5365324497222901,0.03395714547985107,0.012036275863647462,0.0031193551024198468,0.5,linear,10,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 10}",0.9067235847780075,0.9187650878758559,0.9153212986509554,0.9069450798339902,0.8826096400366449,0.9060729382350907,0.01263592629866793,12
2,0.8115020275115967,0.02428362548533455,0.014200162887573243,0.00020520239319097983,0.5,linear,15,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 15}",0.9037487062626427,0.9064286357971457,0.9141383868557776,0.9158849124275117,0.8762072385911046,0.9032815759868363,0.01428185123324686,17
3,0.3052534580230713,0.007221645078273772,0.006208896636962891,0.0004903223777301661,0.5,square,5,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 5}",0.9014388551207574,0.9168375309555844,0.9188912927924219,0.9341408454726778,0.8912781048944408,0.9125173258471765,0.014837150994092415,4
4,0.6070286273956299,0.016546818850251905,0.010596370697021485,0.0006303650995937883,0.5,square,10,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 10}",0.9166358177591597,0.9071513135667798,0.9086890909214905,0.9369374482528071,0.8765443509787297,0.9091916042957934,0.019470524523360407,9
5,0.8757758140563965,0.01882212773802315,0.014307737350463867,0.0009055498456470418,0.5,square,15,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 15}",0.9185650202697111,0.9173688772150975,0.9105062401469423,0.9346106919701315,0.884416105763444,0.9130933870730653,0.01637249393559248,3
6,0.3124540328979492,0.0073213702076021315,0.006693506240844726,0.0014311718100121253,0.5,exponential,5,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 5}",0.9180933582472077,0.9262548658077983,0.8982961845551862,0.9267395615023031,0.8745964165846535,0.9087960773394297,0.01996537951147961,10
7,0.6445863723754883,0.019143975868434655,0.01016855239868164,0.0013790934636194545,0.5,exponential,10,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 10}",0.9131852868192445,0.9353245654425818,0.9030125912625245,0.9213082371751721,0.8833283003166291,0.9112317962032306,0.017504129400912317,5
8,0.950904369354248,0.06692536919230145,0.015579986572265624,0.002277976531316162,0.5,exponential,15,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 15}",0.8993329278316706,0.9256289192969936,0.9019156114027447,0.9169080987359024,0.8733366380635436,0.903424439066171,0.017883740183103798,16
9,0.32703003883361814,0.05899763643163972,0.010564231872558593,0.006297433426939314,1,linear,5,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 5}",0.9182590165232932,0.9270967450159355,0.9130464560775183,0.9177935525306813,0.8629161925255165,0.907822392534589,0.022907227919064493,11
10,0.568731164932251,0.030438174826979938,0.00959329605102539,0.0002113581658485227,1,linear,10,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 10}",0.9046643199388991,0.9270392976266071,0.8941418168574843,0.9332475701239753,0.8617587793134852,0.9041703567720901,0.02556572043606319,14
11,0.7924854755401611,0.03025522554028835,0.015877294540405273,0.0022164518104844976,1,linear,15,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 15}",0.8983398995097515,0.8635555737898071,0.8878621676129799,0.9167095058308501,0.8752786991723313,0.888349169183144,0.01838434179725568,21
12,0.3068238258361816,0.045071031628584765,0.006798744201660156,0.00039473981410767284,1,square,5,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 5}",0.9227049625605135,0.947792285698873,0.919221507100147,0.918586265834455,0.8843303728831107,0.9185270788154198,0.020217850908964143,2
13,0.5349813461303711,0.014364307789900716,0.011488389968872071,0.0019321429023380805,1,square,10,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 10}",0.9102511619875413,0.9446963501555222,0.9182091062094561,0.9363443611001798,0.8845300891093313,0.9188062137124062,0.021101108710345748,1
14,0.7103271007537841,0.04332034211693372,0.014483356475830078,0.0005517653259967361,1,square,15,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 15}",0.8971841432804626,0.891194087848503,0.9140320285146655,0.9216147955029332,0.8813392462858818,0.9010728602864893,0.014778625984591419,18
15,0.3237601280212402,0.012614019976123355,0.006298637390136719,0.0006284239892939348,1,exponential,5,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 5}",0.910142085038043,0.9335424806604006,0.908098669554226,0.918300405856703,0.8768977486840861,0.9093962779586917,0.01855110249726147,7
16,0.5882425308227539,0.024757482963543326,0.010438919067382812,0.0010375704941455067,1,exponential,10,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 10}",0.9039710179885204,0.9191096853648607,0.9000315226139554,0.9218095759635008,0.8751506466108924,0.904014489708346,0.016694414525563354,15
17,0.809950876235962,0.031185416343483176,0.01563262939453125,0.0019056615520774073,1,exponential,15,"{'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 15}",0.9116259176599455,0.9051177371963847,0.8841458200018806,0.9035971392781569,0.8808206190899986,0.8970614466452732,0.012250067778133849,19
18,0.2848526954650879,0.008583482229556528,0.0071376323699951175,0.0006203637610558641,1.5,linear,5,"{'learning_rate': 1.5, 'loss': 'linear', 'n_estimators': 5}",0.8961985242463554,0.9307998416862906,0.9103575923594792,0.9092803254520718,0.8748402377803949,0.9042953043049184,0.018424174691830535,13
19,0.5155487060546875,0.009125013856376185,0.010321760177612304,0.000720171007114398,1.5,linear,10,"{'learning_rate': 1.5, 'loss': 'linear', 'n_estimators': 10}",0.8857725401050521,0.8778990234930937,0.9058519670754988,0.9075748093832914,0.8832843454326272,0.8920765370979126,0.012231139107041928,20
20,0.6941982746124268,0.03856208122058765,0.014949703216552734,0.0008573595435022121,1.5,linear,15,"{'learning_rate': 1.5, 'loss': 'linear', 'n_estimators': 15}",0.8601258214472219,0.6254657029797523,0.8560834171091146,0.8559993864814543,0.8674260254197407,0.8130200706874569,0.09386934952620171,25
21,0.1966318130493164,0.01782545388952894,0.006730985641479492,0.0004967840783387834,1.5,square,5,"{'learning_rate': 1.5, 'loss': 'square', 'n_estimators': 5}",0.8036005106174051,0.7775660901904085,0.8274439827779898,0.8955037445254534,0.7970014623185588,0.8202231580859631,0.040876624147623435,24
22,0.3740203857421875,0.02744537930970397,0.011803722381591797,0.0012185687408109655,1.5,square,10,"{'learning_rate': 1.5, 'loss': 'square', 'n_estimators': 10}",0.7146970869499649,0.6973044618126024,0.8675893490456,0.7210850546617444,0.8943788535389128,0.779010961201765,0.08405179175665366,26
23,0.5366195201873779,0.05356579406971331,0.020010089874267577,0.005891240881605263,1.5,square,15,"{'learning_rate': 1.5, 'loss': 'square', 'n_estimators': 15}",0.31360778337691264,0.46933664521830365,0.6357407641877064,0.45824030135801685,0.372680378489039,0.4499211745259958,0.10910780856976583,27
24,0.3180070877075195,0.00814932853754411,0.006694889068603516,0.00040489870246948937,1.5,exponential,5,"{'learning_rate': 1.5, 'loss': 'exponential', 'n_estimators': 5}",0.9151390571095391,0.9366533443630942,0.9005907726479985,0.9311531057356791,0.8627054486465034,0.9092483457005628,0.026483005049044103,8
25,0.5440866947174072,0.01804071455332452,0.011704349517822265,0.0013608666890552487,1.5,exponential,10,"{'learning_rate': 1.5, 'loss': 'exponential', 'n_estimators': 10}",0.8572084239538958,0.9127683253035068,0.8800984556563378,0.8763337990010387,0.8538882595028666,0.8760594526835291,0.02102785405677789,22
26,0.6317455291748046,0.07953763219630948,0.009823083877563477,0.0023685651568473584,1.5,exponential,15,"{'learning_rate': 1.5, 'loss': 'exponential', 'n_estimators': 15}",0.8748196805451504,0.8067248851315566,0.8419911316161877,0.817167203604281,0.7990242545877417,0.8279454310969834,0.027558639930294473,23
